# packages in environment at C:\Users\mat\anaconda3\envs\riken_py310_2:
#
# Name                    Version                   Build  Channel
krb5                      1.21.3               hdf4eb48_0    conda-forge
lame                      3.100             hcfcfb64_1003    conda-forge
lark                      1.3.1                    pypi_0    pypi
lcms2                     2.17                 hbcf6048_0    conda-forge
lerc                      4.0.0                h6470a55_1    conda-forge
libaec                    1.1.3                h63175ca_0    conda-forge
libblas                   3.9.0           31_h641d27c_mkl    conda-forge
libbrotlicommon           1.1.0                h2466b09_2    conda-forge
libbrotlidec              1.1.0                h2466b09_2    conda-forge
libbrotlienc              1.1.0                h2466b09_2    conda-forge
libcblas                  3.9.0           31_h5e41251_mkl    conda-forge
libclang13                20.1.3          default_h6e92b77_0    conda-forge
libcurl                   8.13.0               h88aaa65_0    conda-forge
libdeflate                1.23                 h76ddb4d_0    conda-forge
libexpat                  2.5.0                h63175ca_1    conda-forge
libffi                    3.4.6                h537db12_1    conda-forge
libfreetype               2.14.3               h57928b3_1    conda-forge
libfreetype6              2.14.3               hdbac1cb_1    conda-forge
libgcc                    14.2.0               h1383e82_2    conda-forge
libglib                   2.84.1               h7025463_0    conda-forge
libgomp                   14.2.0               h1383e82_2    conda-forge
libhwloc                  2.11.2          default_ha69328c_1001    conda-forge
libiconv                  1.18                 h135ad9c_1    conda-forge
libintl                   0.22.5               h5728263_3    conda-forge
libintl-devel             0.22.5               h5728263_3    conda-forge
libitk                    5.3.0                h170c4af_8    conda-forge
libjpeg-turbo             3.1.0                h2466b09_0    conda-forge
liblapack                 3.9.0           31_h1aa476e_mkl    conda-forge
liblzma                   5.8.1                h2466b09_0    conda-forge
liblzma-devel             5.8.1                h2466b09_0    conda-forge
libnetcdf                 4.9.2           nompi_h008f77d_116    conda-forge
libogg                    1.3.5                h2466b09_1    conda-forge
libopus                   1.5.2                h2466b09_0    conda-forge
libpng                    1.6.58               h7351971_0    conda-forge
librsvg                   2.58.4               h33bc1f6_0    conda-forge
libsodium                 1.0.20               hc70643c_0    conda-forge
libspatialindex           2.1.0                h2854ae6_1    conda-forge
libsqlite                 3.49.1               h67fdade_2    conda-forge
libssh2                   1.11.1               h9aa295b_0    conda-forge
libtheora                 1.1.1             hc70643c_1006    conda-forge
libtiff                   4.7.0                h797046b_4    conda-forge
libusb                    1.0.28               h2466b09_0    conda-forge
libvorbis                 1.3.7                h0e60522_0    conda-forge
libwebp-base              1.5.0                h3b0e114_0    conda-forge
libwinpthread             12.0.0.r4.gg4f2fc60ca      h57928b3_9    conda-forge
libxcb                    1.17.0               h0e4246c_0    conda-forge
libxml2                   2.13.7               h442d1da_1    conda-forge
libxslt                   1.1.39               h3df6e99_0    conda-forge
libzip                    1.11.2               h3135430_0    conda-forge
libzlib                   1.3.2                hfd05255_2    conda-forge
llvm                      20.1.4               hbbcac2b_0    conda-forge
loguru                    0.7.2           py310h5588dad_2    conda-forge
lz4-c                     1.9.4                hcfcfb64_0    conda-forge
markdown-it-py            4.2.0              pyhd8ed1ab_0    conda-forge
markupsafe                3.0.3                    pypi_0    pypi
matplotlib                3.10.9          py310h5588dad_0    conda-forge
matplotlib-base           3.10.9          py310h0bdd906_0    conda-forge
matplotlib-inline         0.2.2              pyhd8ed1ab_0    conda-forge
mdurl                     0.1.2              pyhd8ed1ab_1    conda-forge
meshio                    5.3.5              pyhd8ed1ab_0    conda-forge
mistune                   3.3.3                    pypi_0    pypi
mkl                       2024.2.2            h66d3029_15    conda-forge
more-itertools            11.1.0             pyhcf101f3_0    conda-forge
mpfr                      4.2.1                h64bf75a_1    conda-forge
mpir                      3.0.0             he025d50_1002    conda-forge
msgpack-python            1.1.0           py310hc19bc0b_0    conda-forge
multidict                 6.4.3           py310h38315fa_0    conda-forge
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
nbclient                  0.11.0                   pypi_0    pypi
nbconvert                 7.17.1                   pypi_0    pypi
nbformat                  5.10.4                   pypi_0    pypi
nest-asyncio              1.6.0              pyhd8ed1ab_1    conda-forge
netcdf4                   1.7.2           nompi_py310h0a2a089_101    conda-forge
networkx                  3.4.2              pyh267e887_2    conda-forge
nlohmann_json             3.12.0               he0c23c2_0    conda-forge
numpy                     2.2.6                    pypi_0    pypi
openh264                  2.4.1                h63175ca_0    conda-forge
openjpeg                  2.5.3                h4d64b90_0    conda-forge
openpyxl                  3.1.5           py310h5fa2519_3    conda-forge
openssl                   3.6.3                hf411b9b_0    conda-forge
overrides                 7.7.0                    pypi_0    pypi
packaging                 25.0               pyh29332c3_1    conda-forge
pandas                    2.3.3           py310hed136d8_2    conda-forge
pandocfilters             1.5.1                    pypi_0    pypi
pango                     1.54.0               hbb871f6_2    conda-forge
parso                     0.8.7              pyhcf101f3_0    conda-forge
pcre2                     10.44                h99c9b8b_2    conda-forge
pickleshare               0.7.5           pyhd8ed1ab_1004    conda-forge
pillow                    11.1.0          py310h9595edc_0    conda-forge
pip                       25.1               pyh8b19718_0    conda-forge
pixman                    0.46.0               had0cd8c_0    conda-forge
platformdirs              4.10.0             pyhcf101f3_0    conda-forge
pooch                     1.9.0              pyhd8ed1ab_0    conda-forge
proj                      9.3.1                he13c7e8_0    conda-forge
prometheus-client         0.25.0                   pypi_0    pypi
prompt-toolkit            3.0.52             pyha770c72_0    conda-forge
propcache                 0.3.1           py310h38315fa_0    conda-forge
psutil                    7.2.2           py310h1637853_0    conda-forge
pthread-stubs             0.4               h0e40799_1002    conda-forge
pugixml                   1.14                 h63175ca_0    conda-forge
pure_eval                 0.2.3              pyhd8ed1ab_1    conda-forge
pycparser                 3.0                pyhcf101f3_0    conda-forge
pygalmesh                 0.10.7          py310h8f48928_1    conda-forge
pygments                  2.20.0             pyhd8ed1ab_0    conda-forge
pymeshfix                 0.17.1          py310h5cc9032_0    conda-forge
pyparsing                 3.2.3              pyhd8ed1ab_1    conda-forge
pyside6                   6.8.1           py310h60c6385_0    conda-forge
pysocks                   1.7.1              pyh09c184e_7    conda-forge
python                    3.10.16         hfdde91d_2_cpython    conda-forge
python-dateutil           2.9.0.post0        pyhff2d567_1    conda-forge
python-json-logger        4.1.0                    pypi_0    pypi
python-tzdata             2026.3             pyhd8ed1ab_0    conda-forge
python_abi                3.10                    7_cp310    conda-forge
pytz                      2026.2             pyhcf101f3_0    conda-forge
pyvista                   0.45.3             pyhd8ed1ab_0    conda-forge
pywin32                   312             py310h282bd7d_0    conda-forge
pywinpty                  3.0.5                    pypi_0    pypi
pyyaml                    6.0.3           py310hdb0e946_1    conda-forge
pyzmq                     27.1.0          py310h824d4bc_3    conda-forge
qhull                     2020.2               hc790b64_5    conda-forge
qt-main                   5.15.15              h9151539_3    conda-forge
qt6-main                  6.8.1                h2fedb45_0    conda-forge
referencing               0.37.0                   pypi_0    pypi
requests                  2.34.2             pyhcf101f3_0    conda-forge
rfc3339-validator         0.1.4                    pypi_0    pypi
rfc3986-validator         0.1.1                    pypi_0    pypi
rfc3987-syntax            1.1.0                    pypi_0    pypi
rich                      15.0.0             pyhcf101f3_0    conda-forge
rich-rst                  2.1.0              pyhd8ed1ab_0    conda-forge
rpds-py                   0.30.0                   pypi_0    pypi
rtree                     1.4.1              pyh11ca60a_0    conda-forge
scipy                     1.15.2          py310h15c175c_0    conda-forge
scooby                    0.11.2             pyhd8ed1ab_0    conda-forge
sdl2                      2.32.54              he0c23c2_0    conda-forge
sdl3                      3.2.10               he0c23c2_1    conda-forge
send2trash                2.1.0                    pypi_0    pypi
setuptools                80.1.0             pyhff2d567_0    conda-forge
simpervisor               1.0.0                    pypi_0    pypi
six                       1.17.0             pyhd8ed1ab_0    conda-forge
snappy                    1.2.1                h500f7fa_1    conda-forge
soupsieve                 2.9.1                    pypi_0    pypi
spyder-kernels            3.1.5           win_pyh7428d3b_0    conda-forge
sqlite                    3.49.1               h2466b09_2    conda-forge
stack_data                0.6.3              pyhd8ed1ab_1    conda-forge
svt-av1                   2.2.1                he0c23c2_0    conda-forge
tbb                       2021.13.0            h62715c5_1    conda-forge
tbb-devel                 2021.13.0            h47441b3_1    conda-forge
terminado                 0.18.1                   pypi_0    pypi
tinycss2                  1.5.1                    pypi_0    pypi
tk                        8.6.13               h5226925_1    conda-forge
tomli                     2.4.1              pyhcf101f3_0    conda-forge
tornado                   6.5.7           py310h29418f3_0    conda-forge
traitlets                 5.15.1             pyhcf101f3_0    conda-forge
trame                     3.13.2             pyhd8ed1ab_0    conda-forge
trame-client              3.13.2             pyhd8ed1ab_0    conda-forge
trame-common              1.2.4              pyhd8ed1ab_0    conda-forge
trame-server              3.12.5             pyhd8ed1ab_0    conda-forge
trame-vtk                 2.11.13            pyh36a8613_0    conda-forge
trame-vuetify             3.2.5              pyhd8ed1ab_0    conda-forge
trimesh                   4.12.2             pyh7b2049a_0    conda-forge
typing-extensions         4.13.2               h0e9735f_0    conda-forge
typing_extensions         4.13.2             pyh29332c3_0    conda-forge
tzdata                    2025b                h78e105d_0    conda-forge
ucrt                      10.0.22621.0         h57928b3_1    conda-forge
unicodedata2              16.0.0          py310ha8f682b_0    conda-forge
uri-template              1.3.0                    pypi_0    pypi
urllib3                   2.5.0              pyhd8ed1ab_0    conda-forge
utfcpp                    4.0.6                hc1507ef_0    conda-forge
vc                        14.3                h2b53caa_26    conda-forge
vc14_runtime              14.51.36231         h1b9f54f_39    conda-forge
vcomp14                   14.51.36231         h1b9f54f_39    conda-forge
vmtk                      1.5.0           py310h556579a_14    conda-forge
vs2015_runtime            14.51.36231         h84cd919_39    conda-forge
vtk-base                  9.2.6           qt_py310h1234567_223    conda-forge
wcwidth                   0.8.2              pyhd8ed1ab_0    conda-forge
webcolors                 25.10.0                  pypi_0    pypi
webencodings              0.5.1                    pypi_0    pypi
websocket-client          1.9.0                    pypi_0    pypi
wheel                     0.45.1             pyhd8ed1ab_1    conda-forge
widgetsnbextension        4.0.15             pyhd8ed1ab_0    conda-forge
win32_setctime            1.2.0              pyhd8ed1ab_0    conda-forge
win_inet_pton             1.1.0              pyh7428d3b_8    conda-forge
wslink                    2.5.7                    pypi_0    pypi
x264                      1!164.3095           h8ffe710_2    conda-forge
x265                      3.5                  h2d74725_3    conda-forge
xorg-libxau               1.0.12               h0e40799_0    conda-forge
xorg-libxdmcp             1.1.5                h0e40799_0    conda-forge
xz                        5.8.1                h208afaa_0    conda-forge
xz-tools                  5.8.1                h2466b09_0    conda-forge
yaml                      0.2.5                h6a83c73_3    conda-forge
yarl                      1.20.0          py310h38315fa_0    conda-forge
zeromq                    4.3.5                h5bddc39_9    conda-forge
zipp                      4.1.0              pyhcf101f3_0    conda-forge
zlib                      1.3.2                hfd05255_2    conda-forge
zstandard                 0.25.0          py310h1637853_1    conda-forge
zstd                      1.5.7                hbeecb71_2    conda-forge
